"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density","soil_gCm2","SOL_depth","trees_gCm2","snags_gCm2","aspen_trees_gCm2","aspen_snags_gCm2","birch_trees_gCm2","birch_snags_gCm2","pine_trees_gCm2","pine_snags_gCm2","larch_trees_gCm2","larch_snags_gCm2","crown_severity","latitude","longitude","shrub_gCm2","dnbr","FWD_gCm2","CWD_gCm2","region","burn_year","up_flood","slope","aspect","char_percent","elevation","basal_area_ha","AGB_gCm2","treatment","trees_raw","mean_trees","mean_snags"
"BP",2,"-25b",0,0,0,0,637,637,637,637,637,0,1937.10483576166,8,600.970401177537,232.260801380494,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.323067222615,160.654732238746,55.7569114711278,NA,108.9742,0,"Cherskiy",1983,"Upland",4,"13",0,NA,5.48028399998219,997.962314029159,"unburned",NA,NA,NA
"BP",2,"100",0,0,0,0,127,1146,1146,0,0,0,3220.28140009256,12,0,4.17093235125179,NA,NA,NA,NA,NA,NA,NA,NA,3,68.3228217985687,160.657476483255,108.543171513453,NA,178.61128,73.92950546691,"Cherskiy",1983,"Upland",5,"332",0,NA,0,365.254889331615,"burned",NA,NA,NA
"BP",2,"150",0,0,0,0,509,2292,2292,0,0,0,2710.24020192926,7,0,84.711048292614,NA,NA,NA,NA,NA,NA,NA,NA,2.77777777777778,68.3227220129497,160.658737161791,119.964607724336,NA,207.86408,164.20993442602,"Cherskiy",1983,"Upland",6,"357",0,NA,0,576.74967044297,"burned",NA,NA,NA
"BP",2,"200",0,0,0,0,891,2165,2165,0,0,0,3261.09801468616,15,0,264.154940384939,NA,NA,NA,NA,NA,NA,NA,NA,2.35294117647059,68.3226803996952,160.660019030423,93.0814489721129,NA,226.8972,287.896508935828,"Cherskiy",1983,"Upland",2,"356",0,NA,0,872.03009829288,"burned",NA,NA,NA
"BP",2,"25",0,0,0,3183,637,1019,1019,0,0,3183,1280.26361682023,5,0,672.095771500655,NA,NA,NA,NA,NA,NA,NA,NA,2.75,68.3228844089299,160.655389477611,66.0089468379431,NA,31.74568,35.8183670313296,"Cherskiy",1983,"Upland",2,"355",0,NA,0,805.668765369928,"burned",NA,NA,NA
"BP",2,"50",0,0,0,0,891,3183,3183,0,0,0,2455.06260922749,9,0,412.972683580793,NA,NA,NA,NA,NA,NA,NA,NA,2.76,68.3228667997833,160.656136350189,79.651343150289,NA,542.63568,64.7111049664078,"Cherskiy",1983,"Upland",5,"15",0,NA,0,1099.97081169749,"burned",NA,NA,NA
"BP",2,"75",0,0,0,796,0,1910,1910,0,0,796,2591.53597316596,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,68.322831581449,160.656851440955,73.8289313332412,NA,370.34308,41.5853468251369,"Cherskiy",1983,"Upland",6,"346",0,NA,0,485.757358158378,"burned",NA,NA,NA
"CN",1,"-25",0,0,0,0,0,159,159,573,573,0,2282.37582417582,4,189.632755532976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7820030376315,161.474372595548,132.971359822221,NA,83.24264,0,"Cherskiy",2001,"Upland",2,"190",0,46.98986816,1.74477699977218,405.846755355197,"unburned",NA,NA,NA
"CN",1,"-50",0,0,0,0,0,0,0,859,859,0,2054.96301485149,5,127.504808574686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7818317115306,161.474059782922,114.713992434902,NA,133.02692,0,"Cherskiy",2001,"Upland",4,"160",0,46.02856445,1.18254968756768,375.245721009588,"unburned",NA,NA,NA
"CN",1,"100",0,0,0,3979,318,732,732,0,0,3979,1764.46619871106,5,0,132.694801958963,NA,NA,NA,NA,NA,NA,NA,NA,1.78260869565217,68.7830390408635,161.475194441154,20.525701733866,NA,59.1354,113.660091463715,"Cherskiy",2001,"Upland",14,"0",0,44.34631348,0,326.015995156544,"burned",NA,NA,NA
